iter	MultiClass
0	0.982646034
1	0.888152311
2	0.8107015029
3	0.7446287762
4	0.686941712
5	0.6356954418
6	0.5926852716
7	0.5563441004
8	0.5245972118
9	0.4941462301
10	0.4674888686
11	0.4430912728
12	0.4204619916
13	0.3999100587
14	0.3814936136
15	0.3655546602
16	0.3497248947
17	0.3344451624
18	0.3206838772
19	0.3082616869
20	0.2972510498
21	0.2866018127
22	0.2783110959
23	0.2695580956
24	0.2619633522
25	0.2544965038
26	0.2475661229
27	0.2421657984
28	0.2359058231
29	0.228963835
30	0.2238277736
31	0.2179363855
32	0.2124263099
33	0.2083523923
34	0.2042166647
35	0.1998673572
36	0.195510247
37	0.1921642618
38	0.1892542742
39	0.185452606
40	0.1817868632
41	0.1793766117
42	0.1763277819
43	0.172889673
44	0.1702938759
45	0.1681322269
46	0.1657224671
47	0.1634129601
48	0.1605994699
49	0.1586005102
50	0.1565956601
51	0.1545863271
52	0.1526786061
53	0.1509791118
54	0.1492455013
55	0.1470444568
56	0.1451756982
57	0.1434540917
58	0.1417478364
59	0.140157313
60	0.1377056644
61	0.1361489632
62	0.1346495708
63	0.1333934005
64	0.1317834127
65	0.1303293723
66	0.1292419307
67	0.1281094054
68	0.1271123137
69	0.1260505942
70	0.124879328
71	0.1238616617
72	0.1225446271
73	0.1214418157
74	0.1200699044
75	0.1188355421
76	0.117395882
77	0.1166035607
78	0.1158119727
79	0.1147557836
80	0.1137347724
81	0.1126559894
82	0.1115329833
83	0.1107055649
84	0.1096090654
85	0.1086759091
86	0.1077440295
87	0.1066669544
88	0.1056583144
89	0.1047651235
90	0.1039861727
91	0.1031130236
92	0.1022755903
93	0.1012575209
94	0.100431455
95	0.09944638018
96	0.09876133711
97	0.09789716519
98	0.09701847773
99	0.09631966379
100	0.09575605835
101	0.09477032174
102	0.09410357752
103	0.09339848979
104	0.09264566779
105	0.09172882228
106	0.09078293422
107	0.09001514113
108	0.08933153731
109	0.08866921437
110	0.08794567967
111	0.08732822198
112	0.08663459155
113	0.08590740208
114	0.08525261871
115	0.08444795752
116	0.0835906806
117	0.08297439502
118	0.0822268128
119	0.08168206091
120	0.08086986848
121	0.08033991111
122	0.07971939244
123	0.07905951286
124	0.07850972021
125	0.0775144319
126	0.07699356623
127	0.07650179168
128	0.07592431634
129	0.07539476092
130	0.07476958556
131	0.0743513994
132	0.07368918562
133	0.07312050576
134	0.07263049703
135	0.07206709275
136	0.07148088605
137	0.07101487225
138	0.07049980859
139	0.06998489114
140	0.06955867255
141	0.06928843412
142	0.06878406793
143	0.06835715492
144	0.06789904003
145	0.06737942199
146	0.06686339824
147	0.0662914888
148	0.06587264227
149	0.06545891952
